event_id,indicator,release_date,actual,consensus,surprise,surprise_pct,regime,ff_rate,yc_10y2y,hy_spread,vix,cuts_implied,sp500_t0,sp500_t1,sp500_t5,sp500_t10,sp500_t20,ret_t1,ret_t5,ret_t10,ret_t20,forecast_source,data_source,analysis,updated_at
ISM_MFG_20231202,ISM Manufacturing PMI,2023-12-02,46.7,47.6,-0.9,-1.8908,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240104,ISM Manufacturing PMI,2024-01-04,47.4,47.1,0.3,0.6369,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240202,ISM Manufacturing PMI,2024-02-02,49.1,47.2,1.9,4.0254,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240302,ISM Manufacturing PMI,2024-03-02,47.8,49.5,-1.7,-3.4343,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240401,ISM Manufacturing PMI,2024-04-01,50.3,48.5,1.8,3.7113,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240501,ISM Manufacturing PMI,2024-05-01,49.2,50.0,-0.8,-1.6,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240603,ISM Manufacturing PMI,2024-06-03,48.7,49.8,-1.1,-2.2088,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240701,ISM Manufacturing PMI,2024-07-01,48.5,49.2,-0.7,-1.4228,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240801,ISM Manufacturing PMI,2024-08-01,46.8,48.8,-2.0,-4.0984,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20240903,ISM Manufacturing PMI,2024-09-03,47.2,47.5,-0.3,-0.6316,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20241001,ISM Manufacturing PMI,2024-10-01,47.2,47.6,-0.4,-0.8403,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20241101,ISM Manufacturing PMI,2024-11-01,46.5,47.6,-1.1,-2.3109,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20241203,ISM Manufacturing PMI,2024-12-03,48.4,47.7,0.7,1.4675,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250104,ISM Manufacturing PMI,2025-01-04,49.3,48.2,1.1,2.2822,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
